,event,event_label,span_text,label,element,role_label,role,institution,institution_label,date,type_labels
17954,https://g17.dhi-roma.it/resources/event_15004,APOSTOLIC PROVISION 15004,Simoniis Chertemps,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_196697,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_104,Bellovacensis,1678-07-01T00:00:00Z,"apostolic provision,papal grace,Prior,Office in a monastery,Regular canons,Order of Saint Anthony"
17955,https://g17.dhi-roma.it/resources/event_8475,APOSTOLIC PROVISION 8475,Petrus Huet,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_119681,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_348,Lucionensis,1677-11-13T00:00:00Z,"apostolic provision,papal grace,Prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition"
17956,https://g17.dhi-roma.it/resources/event_5650,APOSTOLIC PROVISION 5650,Maximiliano Monterurali,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_90871,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_401,Mutinensis,1622-05-27T00:00:00Z,"apostolic provision,papal grace,Reservation of a pension,Defined administrative office,Administrative office,Provostship,Parish Church,Church institutions"
17957,https://g17.dhi-roma.it/resources/event_12886,APOSTOLIC PROVISION 12886,Gilbertus Henricus de Veuy dArbouze,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_174033,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_192,Claromontensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
17958,https://g17.dhi-roma.it/resources/event_13510,APOSTOLIC PROVISION 13510,Franciscus Solie seu Solier,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_180683,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_1154,sancti pontii thomeriarum,1678-05-20T00:00:00Z,"Resignation,Personal reason,apostolic provision,papal grace,Without care of souls,church,Church institutions"
17959,https://g17.dhi-roma.it/resources/event_4517,APOSTOLIC PROVISION 4517,Angelo Faetino,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_77949,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_599,Urbis seu Romana,1623-01-09T00:00:00Z,"apostolic provision,papal grace,Reservation of a pension,Pastor,Liturgical office,Church institutions,Basilica"
17960,https://g17.dhi-roma.it/resources/event_6084,APOSTOLIC PROVISION 6084,Ioannis Bellin,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_95968,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_401,Mutinensis,1622-07-23T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
17961,https://g17.dhi-roma.it/resources/event_6171,APOSTOLIC PROVISION 6171,Linius Sonantius,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_96974,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_482,Reatina,1622-08-03T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Without care of souls"
17962,https://g17.dhi-roma.it/resources/event_14707,APOSTOLIC PROVISION 14707,Eustachius Raguenet,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_192637,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_192,Claromontensis,,"Renewed provision,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
17963,https://g17.dhi-roma.it/resources/event_13683,APOSTOLIC PROVISION 13683,ultimi possessoris,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_181345,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_104,Bellovacensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Pastor,Liturgical office,Parish Church,Church institutions"
17964,https://g17.dhi-roma.it/resources/event_6773,APOSTOLIC PROVISION 6773,Joannes Baptistae Falangola,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_103632,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_999,Suessana,1678-03-12T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
17965,https://g17.dhi-roma.it/resources/event_2931,APOSTOLIC PROVISION 2931,Ioannes Guillot,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_54684,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_445,Parisiensis,1677-11-20T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Prior,Office in a monastery,Order of Saint Augustine,Regular canons"
17966,https://g17.dhi-roma.it/resources/event_4751,APOSTOLIC PROVISION 4751,Ruberti Schielder,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_80481,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_148,Cameracensis,1622-12-10T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
17967,https://g17.dhi-roma.it/resources/event_9840,APOSTOLIC PROVISION 9840,Ignaty Secondat de Montesquieu,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_133694,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_133,Burdegalensis,1678-02-13T00:00:00Z,"apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church"
17968,https://g17.dhi-roma.it/resources/event_3198,APOSTOLIC PROVISION 3198,Benedictus Prigiogero,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_57278,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_369,Mediolanensis,1622-03-11T00:00:00Z,"Resignation,Personal reason,apostolic provision,papal grace,Pastor,Liturgical office,Parish Church,Church institutions"
17969,https://g17.dhi-roma.it/resources/event_5245,APOSTOLIC PROVISION 5245,ultimi possessoris,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_85871,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_1081,tranensis,1622-02-18T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Rectorship,Liturgical office"
17970,https://g17.dhi-roma.it/resources/event_8585,APOSTOLIC PROVISION 8585,Antonius Salviat,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_120934,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_133,Burdegalensis,1677-11-20T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,church,Church institutions,Archdeacon,Liturgical office"
17971,https://g17.dhi-roma.it/resources/event_9078,APOSTOLIC PROVISION 9078,ultimi possessoris,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_125884,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_532,Senonensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Prior,Office in a monastery,Regular canons,Order of Saint Anthony"
17972,https://g17.dhi-roma.it/resources/event_8148,APOSTOLIC PROVISION 8148,Joanne Baptiste Fernet,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_75431,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_528,Segobiensis,1678-07-18T00:00:00Z,"apostolic provision,papal grace,Reservation of a pension,Rectorship,Liturgical office"
17973,https://g17.dhi-roma.it/resources/event_12729,APOSTOLIC PROVISION 12729,Petrus Poupeau,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_173246,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_455,Pictaviensis,1678-04-23T00:00:00Z,"apostolic provision,papal grace,Vacant for an indefinite period,Administrative reason,death of previous holder,Personal reason,Rectorship,Liturgical office"
17974,https://g17.dhi-roma.it/resources/event_14943,APOSTOLIC PROVISION 14943,Francisci Augier,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_196042,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_192,Claromontensis,1678-06-25T00:00:00Z,"apostolic provision,papal grace,Rectorship,Liturgical office"
17975,https://g17.dhi-roma.it/resources/event_8168,APOSTOLIC PROVISION 8168,Matthei Le Moine,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_116217,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_192,Claromontensis,1677-10-16T00:00:00Z,"apostolic provision,papal grace,Prior,Office in a monastery"
17976,https://g17.dhi-roma.it/resources/event_16262,APOSTOLIC PROVISION 16262,Josephus predictus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_204314,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_133,Burdegalensis,,"Placing a commenda,apostolic provision,papal grace,death of previous holder,Personal reason,Office in a monastery,Head of the monastery"
17977,https://g17.dhi-roma.it/resources/event_9685,APOSTOLIC PROVISION 9685,Carolus de Vaucouleurs,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_131926,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_445,Parisiensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church"
17978,https://g17.dhi-roma.it/resources/event_17403,APOSTOLIC PROVISION 17403,Nicolai de la Vaux,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_218333,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_1165,nivernensis seu andegavensis,,"apostolic provision,papal grace,Church institutions,Collegiate church"
17979,https://g17.dhi-roma.it/resources/event_4546,APOSTOLIC PROVISION 4546,Bellisarius Periculus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_78185,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_149,Camerinensis,,"deceased in Rome,apostolic provision,papal grace,death of previous holder,Personal reason,Without care of souls,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice,Holder of an undefined benefice"
17980,https://g17.dhi-roma.it/resources/event_16040,APOSTOLIC PROVISION 16040,Bernardus predictus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_202429,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_81,Aturensis,1678-08-12T00:00:00Z,"apostolic provision,papal grace,Reservation of a pension,Rectorship,Liturgical office"
17981,https://g17.dhi-roma.it/resources/event_16243,APOSTOLIC PROVISION 16243,Jacobus Thomas,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_204158,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,1677-12-12T00:00:00Z,"apostolic provision,papal grace,Pastor,Liturgical office,Church institutions,Collegiate church"
17982,https://g17.dhi-roma.it/resources/event_8843,APOSTOLIC PROVISION 8843,Jacobi etiam Riqueur,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_123541,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_501,Sagiensis,1677-12-05T00:00:00Z,"apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
17983,https://g17.dhi-roma.it/resources/event_4944,APOSTOLIC PROVISION 4944,Christophori de la Vallee,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_82399,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_181,Cenomanensis,1677-11-20T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Without care of souls,Pastor,Liturgical office,Parish Church,Church institutions"
17984,https://g17.dhi-roma.it/resources/event_6747,APOSTOLIC PROVISION 6747,Marci Gago,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_103354,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_713,Elborensis,,"apostolic provision,papal grace,death of previous holder,Personal reason,Prior,Office in a monastery,Parish Church,Church institutions"
17985,https://g17.dhi-roma.it/resources/event_8542,APOSTOLIC PROVISION 8542,Andreas Anteaume,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_120429,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_336,Lingonensis,1677-11-13T00:00:00Z,"apostolic provision,papal grace,Sanction,Incompatibility,Prior,Office in a monastery,sub-prior"
17986,https://g17.dhi-roma.it/resources/event_8047,APOSTOLIC PROVISION 8047,ultimi possessoris,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_115510,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_104,Bellovacensis,1678-06-25T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Pastor,Liturgical office"
17987,https://g17.dhi-roma.it/resources/event_9969,APOSTOLIC PROVISION 9969,Ioes Raymond seu Ramond,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_135142,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_133,Burdegalensis,1678-02-25T00:00:00Z,"apostolic provision,papal grace,Rectorship,Liturgical office"
17988,https://g17.dhi-roma.it/resources/event_8489,APOSTOLIC PROVISION 8489,Alexander Philibertus de Cheuriers,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_119857,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_364,Matisconensis,1677-11-13T00:00:00Z,"apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church"
17989,https://g17.dhi-roma.it/resources/event_16426,APOSTOLIC PROVISION 16426,Unknown former possessor,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_206058,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_161,Carpentoractensis,1622-05-19T00:00:00Z,"Renewed provision,apostolic provision,papal grace,Vacant for an indefinite period,Administrative reason,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
