,diocese_11,diocese_11_label,event_lead_speed,time_delta,distance,distance_sum,distance_log,time_delta_sum,event_count,diocese_lead_speed
299,https://g17.dhi-roma.it/resources/institution_620,Venetensis,0.1508463596732236,77.14285714285714,1365.8968859078602,9561.278201355022,7.219566551123283,540.0,7,0.09358697381085739
336,https://g17.dhi-roma.it/resources/institution_703,Sancti Angeli de Lombardis,0.10904104599504387,59.0,249.09892044249978,1743.6924430974984,5.517850088426949,413.0,7,0.09352288285469404
47,https://g17.dhi-roma.it/resources/institution_174,Cathacensis,0.11561942787615484,66.4,481.5305094563914,2407.652547281957,6.176969592587799,332.0,5,0.0930266504907801
78,https://g17.dhi-roma.it/resources/institution_223,Cremonensis,1.1687710772730475,65.09333333333333,412.1992317092181,6182.988475638272,6.021506804575966,976.4,15,0.09250573747300235
88,https://g17.dhi-roma.it/resources/institution_254,Faventina,0.1290480714165291,60.59090909090909,271.39995309470106,5970.7989680834235,5.603593574573566,1333.0,22,0.09248241458410986
91,https://g17.dhi-roma.it/resources/institution_259,Feruntina,0.19763901818368207,46.0,67.7895521836964,677.895521836964,4.216408085486498,460.0,10,0.091661045336663
229,https://g17.dhi-roma.it/resources/institution_482,Reatina,0.18956545586217707,45.80952380952381,63.913674586632155,1342.1871663192753,4.157533338279601,962.0,21,0.0907569647649393
110,https://g17.dhi-roma.it/resources/institution_292,Hieracensis,0.2977442405797002,68.53846153846153,502.4099822403583,6531.329769124658,6.2194164840655946,891.0,13,0.09074345038479543
136,https://g17.dhi-roma.it/resources/institution_344,Lucana,0.1764909014100517,63.1,271.66194346323545,8149.858303897064,5.604558438396714,1893.0,30,0.08882026051341861
357,https://g17.dhi-roma.it/resources/institution_92,Aversana,0.11946102069059471,58.36363636363637,176.6386536312703,1943.0251899439734,5.174106140954102,642.0,11,0.08865290895715751
89,https://g17.dhi-roma.it/resources/institution_256,Feretrana,0.14119842538696545,60.23076923076923,207.9985822370227,2703.981569081295,5.337531263509928,783.0,13,0.08861801586925806
259,https://g17.dhi-roma.it/resources/institution_542,Squillacensis,0.0901968814678137,70.4,486.30769888197,2431.53849440985,6.1868415488327875,352.0,5,0.08788127200046572
13,https://g17.dhi-roma.it/resources/institution_123,Bovensis,0.15960239008149024,71.28571428571429,523.0535235574097,3661.374664901868,6.259683798326509,499.0,7,0.08781119556770653
38,https://g17.dhi-roma.it/resources/institution_155,Capuana,0.2844374540180763,58.90909090909091,168.4614967041106,1853.0764637452166,5.126707217473837,648.0,11,0.08702743733366082
187,https://g17.dhi-roma.it/resources/institution_419,Nolana,0.09056163346042198,61.4,201.51969932135964,1007.5984966067982,5.305887139989647,307.0,5,0.08641509999983138
349,https://g17.dhi-roma.it/resources/institution_74,Asculana,0.666178105435771,57.36521739130435,139.38489527101964,3205.852591233452,4.937239137154413,1319.4,23,0.08606677289264174
232,https://g17.dhi-roma.it/resources/institution_486,Regiensis,2.731745529709217,68.61818181818181,347.33650057165863,3820.7015062882447,5.850294052332011,754.8,11,0.08525865736042942
123,https://g17.dhi-roma.it/resources/institution_313,Lamacensis,0.09580691243137406,87.875,1693.7843570568439,13550.274856454751,7.434720569031488,703.0,8,0.08460563947688748
318,https://g17.dhi-roma.it/resources/institution_651,Zamorensis,0.20340228196108154,87.1,1535.1837037077914,15351.837037077914,7.336405329543215,871.0,10,0.084229682313929
126,https://g17.dhi-roma.it/resources/institution_318,Laudensis,0.10836157568352192,72.57142857142857,450.3117477342271,3152.1822341395896,6.109940115650827,508.0,7,0.08419208820778698
216,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,0.11802747655271173,72.85714285714286,418.3308238854217,20498.210370385663,6.036272564199516,3570.0,49,0.08285079990077766
118,https://g17.dhi-roma.it/resources/institution_307,Jadrensis,0.10470273933930334,70.33333333333333,332.7159419985696,1996.2956519914173,5.807289098914527,422.0,6,0.08256809145376105
208,https://g17.dhi-roma.it/resources/institution_446,Parmensis,0.12740612200420529,72.0677966101695,368.36632991769596,21733.613465144063,5.90907790475834,4252.0,59,0.08199331993902682
194,https://g17.dhi-roma.it/resources/institution_431,Oscensis,0.24837126110020438,85.14285714285714,1051.2969434827492,7359.078604379244,6.957779865208348,596.0,7,0.08171889103432624
328,https://g17.dhi-roma.it/resources/institution_69,Aretina,0.1730334707888916,63.82142857142857,182.27568485903694,5103.719176053034,5.205520292969961,1787.0,28,0.08156383223456011
185,https://g17.dhi-roma.it/resources/institution_414,Neritonensis,0.11882298693075444,76.33333333333333,503.37863561589035,3020.271813695342,6.221342641625577,458.0,6,0.08150230534880669
241,https://g17.dhi-roma.it/resources/institution_503,Salamantina,0.8749111729831224,90.14782608695653,1517.8548987504257,34910.66267125979,7.325053366265903,2073.4,23,0.08125601785671639
105,https://g17.dhi-roma.it/resources/institution_277,Gerundensis,0.7301395484490155,82.57818181818182,803.1077568686429,44170.92662777536,6.688488897806274,4541.8,55,0.08099583631585386
204,https://g17.dhi-roma.it/resources/institution_441,Pampilonensis,0.27204168668722767,88.1875,1174.2439147319599,37575.805271422716,7.068379742634328,2822.0,32,0.0801517192644573
55,https://g17.dhi-roma.it/resources/institution_189,Civitatis Castelli,0.10443043531660016,67.13333333333334,175.60741564555403,2634.1112346833106,5.168250910637098,1007.0,15,0.07698486957254862
18,https://g17.dhi-roma.it/resources/institution_129,Brixiensis,0.08913341452049567,81.1,449.4075492321702,4494.075492321702,6.107930158079585,811.0,10,0.07531356545104297
172,https://g17.dhi-roma.it/resources/institution_400,Muranensis,0.07519945355565134,75.0,281.45118343326385,2251.609467466111,5.639959016673851,600.0,8,0.07519945355565134
130,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,0.649284195294513,93.52571428571429,1107.5740469863945,38765.0916445238,7.009927359265683,3273.4,35,0.07495187192958358
81,https://g17.dhi-roma.it/resources/institution_231,Cusentina,0.0865095816831635,81.8,425.19801151691536,2125.990057584577,6.052554969873874,409.0,5,0.07399211454613538
119,https://g17.dhi-roma.it/resources/institution_308,Januensis,0.10413177314807362,81.38888888888889,402.7729259548312,7249.912667186962,5.998372943974757,1465.0,18,0.07370014538672057
6,https://g17.dhi-roma.it/resources/institution_111,Bisuntina,0.08199768349740605,91.75,784.1407723321,6273.1261786568,6.664588560778107,734.0,8,0.07263856741992487
262,https://g17.dhi-roma.it/resources/institution_551,Taranthasiensis,0.08229150171791846,88.66666666666667,623.9667549882726,3743.8005299296356,6.4360970896877605,532.0,6,0.07258756116189204
150,https://g17.dhi-roma.it/resources/institution_363,Materanensis,0.1530897201221682,81.6,370.3757706209393,1851.8788531046964,5.914518086542093,408.0,5,0.07248183929585898
263,https://g17.dhi-roma.it/resources/institution_553,Tarentina,0.12586712424041352,83.7,428.9847615762918,4289.847615762918,6.061421397495954,837.0,10,0.0724184157406924
173,https://g17.dhi-roma.it/resources/institution_401,Mutinensis,0.11730783819912204,81.0,334.8565178983193,4353.134732678151,5.813702135295238,1053.0,13,0.07177410043574368
292,https://g17.dhi-roma.it/resources/institution_600,Urgellensis,0.1054183622232962,95.66666666666667,948.2896880049175,34138.42876817703,6.854660033639814,3444.0,36,0.0716514986094754
209,https://g17.dhi-roma.it/resources/institution_450,Pennensis,0.10278764574333542,68.33333333333333,132.6694227346687,3184.0661456320486,4.887860490782469,1640.0,24,0.07152966571876784
176,https://g17.dhi-roma.it/resources/institution_405,Narniensis,0.10774992730316538,59.54545454545455,69.97168289581882,769.688511854007,4.24809063014527,655.0,11,0.07134198004824117
114,https://g17.dhi-roma.it/resources/institution_297,Hydruntina,0.10910883213053542,88.66666666666667,538.9508503333059,6467.410203999671,6.289624379985565,1064.0,12,0.07093561330810787
155,https://g17.dhi-roma.it/resources/institution_37,Aleriensis,0.08567249256607722,78.125,247.5467628414287,1980.3741027314295,5.511599504935134,625.0,8,0.07054847366316971
312,https://g17.dhi-roma.it/resources/institution_64,Aquilegiensis,0.08549845003603483,87.1,436.7328825325256,4367.328825325256,6.079321755418461,871.0,10,0.06979703507943125
264,https://g17.dhi-roma.it/resources/institution_555,Tarraconensis,0.1761528833826695,98.6,944.8893750513378,9448.893750513378,6.851067857203546,986.0,10,0.06948344682762217
82,https://g17.dhi-roma.it/resources/institution_234,Dertusensis,0.16648798515018395,100.0909090909091,1008.0704009347651,11088.774410282416,6.915793288389649,1101.0,11,0.06909511913922446
86,https://g17.dhi-roma.it/resources/institution_248,Elvensis,0.10996163360215838,107.8,1700.761249222027,8503.806246110134,7.438831223474662,539.0,5,0.06900585550533082
90,https://g17.dhi-roma.it/resources/institution_258,Ferrariensis,0.08550085474218387,84.28571428571429,333.7603454834449,2336.3224183841144,5.810423206937246,590.0,7,0.06893722448908597
133,https://g17.dhi-roma.it/resources/institution_333,Liciensis,0.11550541898015654,90.5,506.60354196161137,3039.621251769668,6.227728729176792,543.0,6,0.06881468209035128
360,https://g17.dhi-roma.it/resources/institution_99,Barchinonensis,0.11903907478265628,98.66666666666667,861.6608200884804,43944.7018245125,6.758861713054279,5032.0,51,0.06850197682149607
291,https://g17.dhi-roma.it/resources/institution_599,Urbis seu Romana,0.15429951244513712,23.929411764705883,5.0521094128856285,85.88586001905568,1.6198058615945095,406.8,17,0.06769100208236642
342,https://g17.dhi-roma.it/resources/institution_714,Fanensis,0.07288730427247961,80.0,221.83752158557135,1331.025129513428,5.401945229164206,480.0,6,0.06752431536455258
43,https://g17.dhi-roma.it/resources/institution_166,Cassanensis,0.09987213001600874,89.0,399.2204747710351,2395.3228486262105,5.989513832628648,534.0,6,0.06729790823178257
111,https://g17.dhi-roma.it/resources/institution_294,Hipporegiensis,0.11349424874887577,94.6,543.764927153002,2718.82463576501,6.2985170342614945,473.0,5,0.06658051833257395
211,https://g17.dhi-roma.it/resources/institution_456,Pientina,0.11441554275916298,75.0,147.43218259415247,1032.0252781590673,4.993368291026394,525.0,7,0.06657824388035193
8,https://g17.dhi-roma.it/resources/institution_114,Bituntina,0.1085125867450758,88.5,362.1275081205222,5069.7851136873105,5.891996382183644,1239.0,14,0.06657623030715981
71,https://g17.dhi-roma.it/resources/institution_215,Cordubensis,0.08391364257642875,110.83333333333333,1540.6435666074206,9243.861399644524,7.339955508506054,665.0,6,0.06622516248276139
217,https://g17.dhi-roma.it/resources/institution_461,Placentina provinciae Compostellanae,0.0828692685353973,113.0,1574.761109167679,31495.22218335358,7.361858863036723,2260.0,20,0.06514919347820108
9,https://g17.dhi-roma.it/resources/institution_116,Bobiensis,0.0732080645153806,92.8,414.65310673457225,2073.2655336728612,6.0274422832954615,464.0,5,0.06495088667344248
153,https://g17.dhi-roma.it/resources/institution_367,Mechliniensis-Bruxellensis,0.24942569821890462,109.16666666666667,1188.5732496402836,7131.439497841702,7.080508916908045,655.0,6,0.06485962366633323
257,https://g17.dhi-roma.it/resources/institution_540,Spirensis,0.07907936807047018,104.83333333333333,882.8302268477933,5296.9813610867595,6.783132913542443,629.0,6,0.06470397055843348
145,https://g17.dhi-roma.it/resources/institution_355,Mantuana,0.10035150326007053,92.25,387.4725551762155,4649.670662114586,5.959645020933466,1107.0,12,0.06460319805889936
