,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels
3628,https://g17.dhi-roma.it/resources/event_3692,APOSTOLIC PROVISION 3692,1678-04-15,1678-07-07,https://g17.dhi-roma.it/resources/institution_259,Feruntina,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (13.25 41.683333333333),https://g17.dhi-roma.it/resources/place_250,Ferentino,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
3629,https://g17.dhi-roma.it/resources/event_1748,APOSTOLIC PROVISION 1748,1621-10-16,1622-10-27,https://g17.dhi-roma.it/resources/institution_465,Polignanensis,https://g17.dhi-roma.it/resources/institution_876,Bari,POINT (17.220277777778 40.996111111111),https://g17.dhi-roma.it/resources/place_456,Polignano a Mare,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
3630,https://g17.dhi-roma.it/resources/event_3858,APOSTOLIC PROVISION 3858,1621-10-16,1622-02-22,https://g17.dhi-roma.it/resources/institution_99,Barchinonensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.1769444444444 41.3825),https://g17.dhi-roma.it/resources/place_95,Barcelona,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3631,https://g17.dhi-roma.it/resources/event_7042,APOSTOLIC PROVISION 7042,1678-01-30,1678-06-21,https://g17.dhi-roma.it/resources/institution_574,Tranensis,https://g17.dhi-roma.it/resources/institution_879,Trani,POINT (16.416666666667 41.266666666667),https://g17.dhi-roma.it/resources/place_561,Trani,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Archpriest,Liturgical office"
3632,https://g17.dhi-roma.it/resources/event_3413,APOSTOLIC PROVISION 3413,1677-03-16,1678-01-03,https://g17.dhi-roma.it/resources/institution_714,Fanensis,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (13.019755555556 43.843530555556),https://g17.dhi-roma.it/resources/place_743,Fano,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,According to the constitution,Liturgical office,rectorship in a parish church,Rectorship"
3633,https://g17.dhi-roma.it/resources/event_6003,APOSTOLIC PROVISION 6003,1621-12-16,1622-07-06,https://g17.dhi-roma.it/resources/institution_443,Papiensis,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (9.155 45.185280555556),https://g17.dhi-roma.it/resources/place_435,Pavia,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,Reservation of a pension,Pension related types,Archpriest,Liturgical office,Parish Church,Church institutions"
3634,https://g17.dhi-roma.it/resources/event_3975,APOSTOLIC PROVISION 3975,1621-12-16,1622-03-01,https://g17.dhi-roma.it/resources/institution_629,Vicensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.254575 41.930379),https://g17.dhi-roma.it/resources/place_611,Vic,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3635,https://g17.dhi-roma.it/resources/event_6771,APOSTOLIC PROVISION 6771,1676-04-04,1678-04-05,https://g17.dhi-roma.it/resources/institution_443,Papiensis,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (9.155 45.185280555556),https://g17.dhi-roma.it/resources/place_435,Pavia,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church"
3636,https://g17.dhi-roma.it/resources/event_7688,APOSTOLIC PROVISION 7688,1622-02-14,1622-04-16,https://g17.dhi-roma.it/resources/institution_202,Comensis,https://g17.dhi-roma.it/resources/institution_839,Aquileia,POINT (9.0861388888889 45.81025),https://g17.dhi-roma.it/resources/place_195,Como,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship"
3637,https://g17.dhi-roma.it/resources/event_4778,APOSTOLIC PROVISION 4778,1622-10-03,1622-10-14,https://g17.dhi-roma.it/resources/institution_324,Legionensis,https://g17.dhi-roma.it/resources/institution_887,Oviedo,POINT (-5.5669444444444 42.598888888889),https://g17.dhi-roma.it/resources/place_315,León,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions"
3638,https://g17.dhi-roma.it/resources/event_2446,APOSTOLIC PROVISION 2446,1622-08-16,1622-10-14,https://g17.dhi-roma.it/resources/institution_189,Civitatis Castelli,https://g17.dhi-roma.it/resources/institution_956,Umbria,POINT (12.2403118 43.4574214),https://g17.dhi-roma.it/resources/place_182,Città di Castello,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Church institutions,Parish hall,Liturgical office,rectorship in a parish church,Rectorship"
3639,https://g17.dhi-roma.it/resources/event_4482,APOSTOLIC PROVISION 4482,1622-08-13,1622-09-19,https://g17.dhi-roma.it/resources/institution_421,Novariensis,https://g17.dhi-roma.it/resources/institution_838,Milano,POINT (8.62 45.45),https://g17.dhi-roma.it/resources/place_414,Novara,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,Restoration,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship,Parish Church,Church institutions"
3640,https://g17.dhi-roma.it/resources/event_7886,APOSTOLIC PROVISION 7886,1622-04-15,1622-08-01,https://g17.dhi-roma.it/resources/institution_457,Pisana,https://g17.dhi-roma.it/resources/institution_843,Pisa,POINT (10.4 43.716666666667),https://g17.dhi-roma.it/resources/place_448,Pisa,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship"
