,province,province_label,time_delta,distance,event_count,province_lead_speed
67,https://g17.dhi-roma.it/resources/institution_934,Paris,11.0,1106.6461660581313,2,0.6371899316749613
54,https://g17.dhi-roma.it/resources/institution_878,Candia,11.0,1078.5423645030562,1,0.6348514314551207
40,https://g17.dhi-roma.it/resources/institution_862,Brindisi,26.066666666666666,452.6660328217704,6,0.23459672452185784
66,https://g17.dhi-roma.it/resources/institution_919,Lyon,32.0,750.0821884390822,1,0.20688071203474523
9,https://g17.dhi-roma.it/resources/institution_819,Salzburg,49.333333333333336,663.6973267777527,3,0.13171269349432863
80,https://g17.dhi-roma.it/resources/institution_996,Chieti,40.666666666666664,144.113361764299,3,0.12222787436910913
71,https://g17.dhi-roma.it/resources/institution_956,Umbria,43.96153846153846,141.30309712580993,26,0.11261906160489155
44,https://g17.dhi-roma.it/resources/institution_868,Oristano (Sardinia),53.6,396.8153878065428,14,0.11163192452263423
79,https://g17.dhi-roma.it/resources/institution_995,Fermo,47.89705882352941,153.7337671215085,68,0.10512591889967243
52,https://g17.dhi-roma.it/resources/institution_876,Bari,57.49382716049383,364.9118359924159,81,0.10261372516932327
78,https://g17.dhi-roma.it/resources/institution_993,Pescara,47.666666666666664,130.74379040336012,6,0.10223579600732166
69,https://g17.dhi-roma.it/resources/institution_953,Laodicea ad Lycum,70.0,1132.5687177697207,1,0.10046062190655308
63,https://g17.dhi-roma.it/resources/institution_894,Urbino,53.36,204.51999095853654,15,0.09971262604954247
64,https://g17.dhi-roma.it/resources/institution_896,Rome,46.126666666666665,84.78576741162333,30,0.09625945277318719
30,https://g17.dhi-roma.it/resources/institution_852,Amalfi,58.333333333333336,224.16329600978975,6,0.0927835677652677
11,https://g17.dhi-roma.it/resources/institution_822,Trier,76.33333333333333,945.5026672289187,6,0.08976048090480027
34,https://g17.dhi-roma.it/resources/institution_856,Cosenza,69.0,422.9027723402532,8,0.08763974347829856
7,https://g17.dhi-roma.it/resources/institution_816,Tuam,87.0,2043.6418347294534,1,0.08761481273956288
33,https://g17.dhi-roma.it/resources/institution_855,Reggio-Calabria,70.82222222222222,481.838324000124,45,0.08722698097516403
