,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
150,https://g17.dhi-roma.it/resources/institution_181,Cenomanensis,0.04318753142282554,0.0489693313222725,8,153,1,typical
334,https://g17.dhi-roma.it/resources/institution_418,Nivernensis,0.0425531914893617,0.06382978723404255,3,47,1,typical
527,https://g17.dhi-roma.it/resources/institution_681,San Severino,0.041666666666666664,0.08333333333333333,1,12,1,typical
88,https://g17.dhi-roma.it/resources/institution_116,Bobiensis,0.041666666666666664,0.08333333333333333,1,12,1,typical
157,https://g17.dhi-roma.it/resources/institution_190,Civitatis Ducalis,0.04040404040404041,0.08080808080808081,1,9,1,typical
82,https://g17.dhi-roma.it/resources/institution_115,Bituricensis,0.03847520291716607,0.04604140720468183,7,122,1,typical
240,https://g17.dhi-roma.it/resources/institution_306,Jacensis,0.038461538461538464,0.07692307692307693,1,8,1,typical
291,https://g17.dhi-roma.it/resources/institution_366,Mazariensis,0.038461538461538464,0.07692307692307693,1,8,1,typical
447,https://g17.dhi-roma.it/resources/institution_557,Terdonensis,0.0380952380952381,0.0380952380952381,1,21,1,typical
124,https://g17.dhi-roma.it/resources/institution_149,Camerinensis,0.03772378516624041,0.07544757033248083,4,46,1,typical
425,https://g17.dhi-roma.it/resources/institution_528,Segobiensis,0.03748006379585327,0.07496012759170655,3,33,1,typical
526,https://g17.dhi-roma.it/resources/institution_680,Antissiodorensis,0.03696303696303697,0.04795204795204795,2,28,1,typical
549,https://g17.dhi-roma.it/resources/institution_711,Constantiensis provincia rothomagen,0.036458333333333336,0.07291666666666667,3,36,1,typical
166,https://g17.dhi-roma.it/resources/institution_202,Comensis,0.03506787330316742,0.07013574660633484,2,26,1,typical
204,https://g17.dhi-roma.it/resources/institution_251,Eugubina,0.03409090909090909,0.06818181818181818,1,11,1,typical
390,https://g17.dhi-roma.it/resources/institution_484,Redonensis,0.03409090909090909,0.045454545454545456,2,44,1,typical
225,https://g17.dhi-roma.it/resources/institution_279,Giennensis,0.03333333333333333,0.06666666666666667,1,15,1,typical
571,https://g17.dhi-roma.it/resources/institution_92,Aversana,0.03333333333333333,0.03333333333333333,1,30,1,typical
134,https://g17.dhi-roma.it/resources/institution_160,Carnotensis,0.03269771067784313,0.06539542135568625,12,151,1,typical
470,https://g17.dhi-roma.it/resources/institution_587,Tullensis,0.032402791625124626,0.04785643070787637,3,59,1,typical
228,https://g17.dhi-roma.it/resources/institution_285,Gratianopolitana,0.03225806451612903,0.03225806451612903,1,31,1,typical
366,https://g17.dhi-roma.it/resources/institution_457,Pisana,0.03125,0.0625,1,16,1,typical
479,https://g17.dhi-roma.it/resources/institution_598,Urbinatensis,0.031111111111111107,0.062222222222222213,1,15,1,typical
189,https://g17.dhi-roma.it/resources/institution_231,Cusentina,0.03076923076923077,0.06153846153846154,1,13,1,typical
237,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,0.030612244897959183,0.04081632653061224,2,49,1,typical
345,https://g17.dhi-roma.it/resources/institution_431,Oscensis,0.030303030303030307,0.030303030303030307,1,22,1,typical
129,https://g17.dhi-roma.it/resources/institution_155,Capuana,0.03007518796992481,0.06015037593984962,1,14,1,typical
