,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels,time_delta,geometry_15,geometry_19,coords_15,coords_19,distance,distance_log,event_lead_speed
3969,https://g17.dhi-roma.it/resources/event_3795,APOSTOLIC PROVISION 3795,1677-10-27,1677-10-27,https://g17.dhi-roma.it/resources/institution_277,Gerundensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.8166666666667 41.983333333333),https://g17.dhi-roma.it/resources/place_268,Girona,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (2.8166666666667 41.983333333333),POINT (12.498611111111 41.8975),"(41.983333333333, 2.8166666666667)","(41.8975, 12.498611111111)",802.5333872320286,6.687773458166197,16.719433645415492
1740,https://g17.dhi-roma.it/resources/event_7327,APOSTOLIC PROVISION 7327,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
3615,https://g17.dhi-roma.it/resources/event_7326,APOSTOLIC PROVISION 7326,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
1391,https://g17.dhi-roma.it/resources/event_7328,APOSTOLIC PROVISION 7328,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
953,https://g17.dhi-roma.it/resources/event_7454,APOSTOLIC PROVISION 7454,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,chapel and chaplaincy,Liturgical office",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
4230,https://g17.dhi-roma.it/resources/event_7453,APOSTOLIC PROVISION 7453,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,chapel and chaplaincy,Liturgical office",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
2804,https://g17.dhi-roma.it/resources/event_22635,APOSTOLIC PROVISION 22635,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
2411,https://g17.dhi-roma.it/resources/event_7452,APOSTOLIC PROVISION 7452,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,chapel and chaplaincy,Liturgical office",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
415,https://g17.dhi-roma.it/resources/event_22636,APOSTOLIC PROVISION 22636,1678-05-17,1678-05-17,https://g17.dhi-roma.it/resources/institution_375,Messanensis,https://g17.dhi-roma.it/resources/institution_859,Messina,POINT (15.554166666666667 38.19361111111111),https://g17.dhi-roma.it/resources/place_367,Messina,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (15.554166666666667 38.19361111111111),POINT (12.498611111111 41.8975),"(38.19361111111111, 15.554166666666667)","(41.8975, 12.498611111111)",486.87645410187105,6.188010403222599,15.470026008056497
2923,https://g17.dhi-roma.it/resources/event_7105,APOSTOLIC PROVISION 7105,1677-12-29,1677-12-29,https://g17.dhi-roma.it/resources/institution_434,Ostunensis,https://g17.dhi-roma.it/resources/institution_862,Brindisi,POINT (17.577777777778 40.732222222222),https://g17.dhi-roma.it/resources/place_426,Ostuni,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,chapel and chaplaincy,Liturgical office",0.4,POINT (17.577777777778 40.732222222222),POINT (12.482777777778 41.893055555556),"(40.732222222222, 17.577777777778)","(41.893055555556, 12.482777777778)",445.60847162278367,6.099440700153143,15.248601750382857
