,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels,time_delta,geometry_15,geometry_19,coords_15,coords_19,distance
2314,https://g17.dhi-roma.it/resources/event_390,APOSTOLIC PROVISION 390,1622-06-15,1622-11-15,https://g17.dhi-roma.it/resources/institution_344,Lucana,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (10.516666666667 43.85),https://g17.dhi-roma.it/resources/place_335,Lucca,https://g17.dhi-roma.it/resources/place_972,St. Peter's Basilica,POINT (12.453416666666667 41.90222222222222),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",153.0,POINT (10.516666666667 43.85),POINT (12.453416666666667 41.90222222222222),"(43.85, 10.516666666667)","(41.90222222222222, 12.453416666666667)",268.0495514247791
2315,https://g17.dhi-roma.it/resources/event_1803,APOSTOLIC PROVISION 1803,1622-08-16,1622-10-01,https://g17.dhi-roma.it/resources/institution_443,Papiensis,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (9.155 45.185280555556),https://g17.dhi-roma.it/resources/place_435,Pavia,https://g17.dhi-roma.it/resources/place_578,Tusculum,POINT (12.710833333333 41.798333333333),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",46.0,POINT (9.155 45.185280555556),POINT (12.710833333333 41.798333333333),"(45.185280555556, 9.155)","(41.798333333333, 12.710833333333)",473.5240830447213
2316,https://g17.dhi-roma.it/resources/event_4702,APOSTOLIC PROVISION 4702,1622-12-16,1623-02-11,https://g17.dhi-roma.it/resources/institution_442,Panormitana,https://g17.dhi-roma.it/resources/institution_864,Palermo (Sicily),POINT (13.361261944444445 38.115658055555556),https://g17.dhi-roma.it/resources/place_434,Palermo,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",57.0,POINT (13.361261944444445 38.115658055555556),POINT (12.482777777778 41.893055555556),"(38.115658055555556, 13.361261944444445)","(41.893055555556, 12.482777777778)",426.0700907068073
2317,https://g17.dhi-roma.it/resources/event_5827,APOSTOLIC PROVISION 5827,1620-03-16,1622-06-16,https://g17.dhi-roma.it/resources/institution_213,Corcagiensis,https://g17.dhi-roma.it/resources/institution_818,Cashel,POINT (-8.4730555555556 51.9),https://g17.dhi-roma.it/resources/place_207,Cork,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",822.0,POINT (-8.4730555555556 51.9),POINT (12.498611111111 41.8975),"(51.9, -8.4730555555556)","(41.8975, 12.498611111111)",1935.4978394694338
2318,https://g17.dhi-roma.it/resources/event_2406,APOSTOLIC PROVISION 2406,1622-12-16,1623-01-21,https://g17.dhi-roma.it/resources/institution_583,Troiana,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (15.3 41.366666666667),https://g17.dhi-roma.it/resources/place_570,Troia,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",36.0,POINT (15.3 41.366666666667),POINT (12.482777777778 41.893055555556),"(41.366666666667, 15.3)","(41.893055555556, 12.482777777778)",241.9143565186267
2319,https://g17.dhi-roma.it/resources/event_6154,APOSTOLIC PROVISION 6154,1622-05-16,1622-07-30,https://g17.dhi-roma.it/resources/institution_446,Parmensis,https://g17.dhi-roma.it/resources/institution_841,Ravenna,POINT (10.328 44.801472222222),https://g17.dhi-roma.it/resources/place_438,Parma,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice",75.0,POINT (10.328 44.801472222222),POINT (12.498611111111 41.8975),"(44.801472222222, 10.328)","(41.8975, 12.498611111111)",367.47181155961914
2320,https://g17.dhi-roma.it/resources/event_6053,APOSTOLIC PROVISION 6053,1622-05-16,1622-07-19,https://g17.dhi-roma.it/resources/institution_120,Bononiensis,https://g17.dhi-roma.it/resources/institution_891,Bologna,POINT (11.342777777778 44.493888888889),https://g17.dhi-roma.it/resources/place_115,Bologna,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,Reservation of a pension,Pension related types,Liturgical office,rectorship in a parish church,Rectorship",64.0,POINT (11.342777777778 44.493888888889),POINT (12.498611111111 41.8975),"(44.493888888889, 11.342777777778)","(41.8975, 12.498611111111)",303.35446027841346
2321,https://g17.dhi-roma.it/resources/event_7615,APOSTOLIC PROVISION 7615,1621-12-16,1622-03-01,https://g17.dhi-roma.it/resources/institution_400,Muranensis,https://g17.dhi-roma.it/resources/institution_853,Conza,POINT (15.483333333333 40.75),https://g17.dhi-roma.it/resources/place_392,Muro Lucano,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,chapel and chaplaincy,Liturgical office",75.0,POINT (15.483333333333 40.75),POINT (12.482777777778 41.893055555556),"(40.75, 15.483333333333)","(41.893055555556, 12.482777777778)",281.45118343326385
2322,https://g17.dhi-roma.it/resources/event_6993,APOSTOLIC PROVISION 6993,1678-04-15,1678-06-07,https://g17.dhi-roma.it/resources/institution_261,Firmana,https://g17.dhi-roma.it/resources/institution_995,Fermo,POINT (13.7181 43.160419444444),https://g17.dhi-roma.it/resources/place_252,Fermo,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",53.0,POINT (13.7181 43.160419444444),POINT (12.482777777778 41.893055555556),"(43.160419444444, 13.7181)","(41.893055555556, 12.482777777778)",173.5520212852279
2323,https://g17.dhi-roma.it/resources/event_25569,APOSTOLIC PROVISION 25569,1618-12-16,1622-03-17,https://g17.dhi-roma.it/resources/institution_48,Anagnina,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (13.15 41.75),https://g17.dhi-roma.it/resources/place_44,Anagni,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1187.0,POINT (13.15 41.75),POINT (12.482777777778 41.893055555556),"(41.75, 13.15)","(41.893055555556, 12.482777777778)",57.66610968777698
