"event","event_label","date_value_7","date_value_4","diocese_11","diocese_11_label","province","province_label","map_15","place_13","place_13_label","place_17","place_17_label","map_19","type_labels"
"https://g17.dhi-roma.it/resources/event_5895","APOSTOLIC PROVISION 5895","1622-05-16","1622-06-22","https://g17.dhi-roma.it/resources/institution_256","Feretrana","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (12.333055555555555 43.76416666666667)","https://g17.dhi-roma.it/resources/place_247","Montefeltro","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_5407","APOSTOLIC PROVISION 5407","1622-01-16","1622-03-21","https://g17.dhi-roma.it/resources/institution_29","Agrigentina","https://g17.dhi-roma.it/resources/institution_864","Palermo (Sicily)","POINT (13.576547222222 37.311075)","https://g17.dhi-roma.it/resources/place_25","Agrigento","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Without care of souls"
"https://g17.dhi-roma.it/resources/event_1219","APOSTOLIC PROVISION 1219","1622-09-15","1622-10-01","https://g17.dhi-roma.it/resources/institution_541","Spoletana","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (12.733333333333 42.733333333333)","https://g17.dhi-roma.it/resources/place_529","Spoleto","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,Holder of a benefice,Holder of a portion,Pastor,church"
"https://g17.dhi-roma.it/resources/event_3769","APOSTOLIC PROVISION 3769","1677-10-16","1678-04-05","https://g17.dhi-roma.it/resources/institution_203","Compostellana","https://g17.dhi-roma.it/resources/institution_874","Santiago","POINT (-8.5333333333333 42.883333333333)","https://g17.dhi-roma.it/resources/place_196","Santiago de Compostela","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_7277","APOSTOLIC PROVISION 7277","1678-05-16","1678-09-16","https://g17.dhi-roma.it/resources/institution_904","Syracuse","https://g17.dhi-roma.it/resources/institution_905","Syracuse","POINT (15.2875 37.069166666667)","https://g17.dhi-roma.it/resources/place_991","Syracuse","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_3417","APOSTOLIC PROVISION 3417","1677-08-16","1678-01-04","https://g17.dhi-roma.it/resources/institution_600","Urgellensis","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (1.0858333333333 41.662222222222)","https://g17.dhi-roma.it/resources/place_586","Urgell","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_6138","APOSTOLIC PROVISION 6138","1621-10-16","1622-07-29","https://g17.dhi-roma.it/resources/institution_191","Civitatis Plebis","https://g17.dhi-roma.it/resources/institution_845","Siena","POINT (12.007777777778 42.953888888889)","https://g17.dhi-roma.it/resources/place_184","Città della Pieve","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,Restoration,death of previous holder,Prebendary,church,Canonship,Canonship and prebend"
"https://g17.dhi-roma.it/resources/event_3440","APOSTOLIC PROVISION 3440","1677-08-16","1678-01-14","https://g17.dhi-roma.it/resources/institution_553","Tarentina","https://g17.dhi-roma.it/resources/institution_861","Taranto","POINT (17.243055555555557 40.471111111111114)","https://g17.dhi-roma.it/resources/place_735","Taranto","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church"
"https://g17.dhi-roma.it/resources/event_5300","APOSTOLIC PROVISION 5300","1621-02-14","1622-02-28","https://g17.dhi-roma.it/resources/institution_69","Aretina","https://g17.dhi-roma.it/resources/institution_842","Firenze","POINT (11.878055555556 43.463055555556)","https://g17.dhi-roma.it/resources/place_65","Arezzo","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,church"
"https://g17.dhi-roma.it/resources/event_7516","APOSTOLIC PROVISION 7516","1622-01-16","1623-01-30","https://g17.dhi-roma.it/resources/institution_435","Ovetensis","https://g17.dhi-roma.it/resources/institution_874","Santiago","POINT (-5.8502777777778 43.3625)","https://g17.dhi-roma.it/resources/place_427","Oviedo","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,church"
